,dataset,date,species,trap,latitude,longitude,wnvpresent,year,month,week,dayofweek,nummosquitos
0,train,2007-05-29,CULEX PIPIENS/RESTUANS,T048,41.867108,-87.654224,0.0,2007,5,22,1,1.0
1,train,2007-05-29,CULEX RESTUANS,T048,41.867108,-87.654224,0.0,2007,5,22,1,2.0
2,train,2007-05-29,CULEX RESTUANS,T091,41.862292,-87.64886,0.0,2007,5,22,1,1.0
3,train,2007-05-29,CULEX RESTUANS,T049,41.896282,-87.655232,0.0,2007,5,22,1,1.0
4,train,2007-05-29,CULEX RESTUANS,T153,41.907645,-87.760886,0.0,2007,5,22,1,1.0
5,train,2007-05-29,CULEX RESTUANS,T045,41.9216,-87.666455,0.0,2007,5,22,1,2.0
6,train,2007-05-29,CULEX RESTUANS,T094,41.720848,-87.666014,0.0,2007,5,22,1,3.0
7,train,2007-05-29,CULEX PIPIENS/RESTUANS,T050,41.919343,-87.694259,0.0,2007,5,22,1,1.0
8,train,2007-05-29,CULEX PIPIENS/RESTUANS,T054,41.921965,-87.632085,0.0,2007,5,22,1,2.0
9,train,2007-05-29,CULEX RESTUANS,T054,41.921965,-87.632085,0.0,2007,5,22,1,3.0
10,train,2007-05-29,CULEX PIPIENS/RESTUANS,T086,41.688324,-87.676709,0.0,2007,5,22,1,1.0
11,train,2007-05-29,CULEX RESTUANS,T086,41.688324,-87.676709,0.0,2007,5,22,1,1.0
12,train,2007-05-29,CULEX PIPIENS,T096,41.731922,-87.677512,0.0,2007,5,22,1,1.0
13,train,2007-05-29,CULEX RESTUANS,T096,41.731922,-87.677512,0.0,2007,5,22,1,5.0
14,train,2007-05-29,CULEX RESTUANS,T046,41.891118,-87.654491,0.0,2007,5,22,1,1.0
15,train,2007-05-29,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,0.0,2007,5,22,1,1.0
16,train,2007-05-29,CULEX RESTUANS,T002,41.95469,-87.800991,0.0,2007,5,22,1,1.0
17,train,2007-05-29,CULEX RESTUANS,T007,41.994991,-87.769279,0.0,2007,5,22,1,1.0
